name,pixel_u,pixel_v,robot_x,robot_y,robot_z,robot_r
TL,151,26,1.748258464244446e+25,1.7440382983785995e+28,7.213748789531749e+22,-3.0254965199816297e-13
TR,501,49,1.748258464244446e+25,1.7440382983785995e+28,7.213748789531749e+22,-3.0254965199816297e-13
BR,478,384,1.748258464244446e+25,1.7440382983785995e+28,7.213748789531749e+22,-3.0254965199816297e-13
BL,145,374,1.748258464244446e+25,1.7440382983785995e+28,7.213748789531749e+22,-3.0254965199816297e-13
